model,seed,artifact_prefix,status,best_threshold,best_val_dice,test_dice,test_hd95_median,test_fnr,test_fpr,error
2d_baseline,0,2d_baseline_seed0,ok,0.5,0.7182058938855048,0.8108060285648241,4.242640495300293,0.05614973262032086,0.048628428927680795,
2d_baseline,1,2d_baseline_seed1,ok,0.5,0.7767002982053444,0.6754465219885656,7.211102485656738,0.12236286919831224,0.05125148986889154,
2d_baseline,2,2d_baseline_seed2,ok,0.7,0.7967190435448094,0.758774088217665,5.385164737701416,0.01984126984126984,0.33879093198992444,
2d_baseline,3,2d_baseline_seed3,ok,0.5,0.814606647054009,0.763488885353912,10.80970573425293,0.050156739811912224,0.3201754385964912,
2d_baseline,4,2d_baseline_seed4,ok,0.55,0.758414579898987,0.7631120159631675,4.538119316101074,0.10618066561014262,0.05821917808219178,
2d_weightedBCE,0,2d_weightedBCE_seed0,ok,0.5,0.7313054873778265,0.8319127413240027,4.123105525970459,0.014705882352941176,0.18079800498753118,
2d_weightedBCE,1,2d_weightedBCE_seed1,ok,0.5,0.765130114528167,0.7135550679001071,7.228099822998047,0.040787623066104076,0.1573301549463647,
2d_weightedBCE,2,2d_weightedBCE_seed2,ok,0.5,0.7924545851146054,0.75239220816918,5.0,0.0582010582010582,0.11712846347607053,
2d_weightedBCE,3,2d_weightedBCE_seed3,ok,0.5,0.8155469488154149,0.7909361325834986,5.099019527435303,0.048589341692789965,0.30701754385964913,
2d_weightedBCE,4,2d_weightedBCE_seed4,ok,0.5,0.7692205356765527,0.73281073828247,7.225424766540527,0.061806656101426306,0.16095890410958905,
2d_boundary_combo,0,2d_boundary_combo_seed0,ok,0.5,0.7357548416549282,0.8153432456397994,6.766563415527344,0.013368983957219251,0.21072319201995013,
2d_boundary_combo,1,2d_boundary_combo_seed1,ok,0.5,0.7977770086187516,0.7343340457827062,6.810332298278809,0.040787623066104076,0.24195470798569726,
2d_boundary_combo,2,2d_boundary_combo_seed2,ok,0.6,0.798088507153667,0.7580508847164098,5.0,0.03835978835978836,0.14609571788413098,
2d_boundary_combo,3,2d_boundary_combo_seed3,ok,0.5,0.8375638804740145,0.7730183078919108,4.920820236206055,0.09247648902821316,0.16885964912280702,
2d_boundary_combo,4,2d_boundary_combo_seed4,ok,0.5,0.7694478479958468,0.7591242694521763,7.071067810058594,0.04595879556259905,0.13356164383561644,
25d_baseline,0,25d_baseline_seed0,ok,0.5,0.7231184397208301,0.8200608893312553,3.605551242828369,0.05748663101604278,0.06359102244389027,
25d_baseline,1,25d_baseline_seed1,ok,0.5,0.7771817174434227,0.6895132897062811,5.099019527435303,0.13924050632911392,0.03218116805721097,
25d_baseline,2,25d_baseline_seed2,ok,0.5,0.7811191818528301,0.7586768230709134,3.861943006515503,0.0701058201058201,0.012594458438287154,
25d_baseline,3,25d_baseline_seed3,ok,0.5,0.8456686850879672,0.7815920627416114,5.0,0.10815047021943573,0.14692982456140352,
25d_baseline,4,25d_baseline_seed4,ok,0.6,0.777249538204045,0.7658550572742467,5.0,0.0919175911251981,0.0547945205479452,
25d_weightedBCE,0,25d_weightedBCE_seed0,ok,0.5,0.7388923998872291,0.8225673000343183,3.983919620513916,0.026737967914438502,0.12468827930174564,
25d_weightedBCE,1,25d_weightedBCE_seed1,ok,0.5,0.7782234285869738,0.7174442847915591,6.7082037925720215,0.04922644163150492,0.14541120381406436,
25d_weightedBCE,2,25d_weightedBCE_seed2,ok,0.5,0.7798054937665958,0.7762668876164647,4.242640495300293,0.05555555555555555,0.03904282115869018,
25d_weightedBCE,3,25d_weightedBCE_seed3,ok,0.5,0.8209819431311985,0.7630990563328364,4.123105525970459,0.13949843260188088,0.04057017543859649,
25d_weightedBCE,4,25d_weightedBCE_seed4,ok,0.5,0.7720887024546326,0.743960759967046,6.0,0.07923930269413629,0.10730593607305935,
25d_boundary_combo,0,25d_boundary_combo_seed0,ok,0.5,0.7579215375476837,0.8394979130150502,4.4721360206604,0.004010695187165776,0.17331670822942644,
25d_boundary_combo,1,25d_boundary_combo_seed1,ok,0.5,0.7963751699911417,0.6987033416289488,7.071067810058594,0.06047819971870605,0.14541120381406436,
25d_boundary_combo,2,25d_boundary_combo_seed2,ok,0.7,0.7780490261356631,0.7785706613902692,4.01231050491333,0.04365079365079365,0.09571788413098237,
25d_boundary_combo,3,25d_boundary_combo_seed3,ok,0.5,0.8546838807410522,0.8075025871652981,4.123105525970459,0.047021943573667714,0.24780701754385964,
25d_boundary_combo,4,25d_boundary_combo_seed4,ok,0.5,0.7812765891826485,0.7834813829914338,5.0,0.042789223454833596,0.18378995433789955,
