seed,model,n_patients_fpr_lt_0_1,hd95_mean,hd95_std,hd95_median
0,25d_bce_dice,87,6.724519251998018,10.73889724331741,3.0
0,25d_boundary,4,2.5987110466027286,2.1592285339182147,1.8251407699364424
0,2d_bce_dice,12,7.25960505296344,11.05472970309177,3.08113883008419
0,2d_boundary,7,7.821208739161115,14.766238634901441,2.0
1,25d_bce_dice,92,6.609634704382863,11.080707686058036,4.061552812808831
1,25d_boundary,34,3.759923984789143,3.1061570498413986,3.0
1,2d_bce_dice,89,6.702604821430796,10.772271282205928,4.0
1,2d_boundary,2,5.322796216858131,3.0554346446293916,5.322796216858131
2,25d_bce_dice,79,6.876757760288947,8.576962853921994,4.0
2,25d_boundary,6,5.771140542220466,5.0430867740231395,3.8566467762757255
2,2d_bce_dice,55,10.394402148737626,15.435528952183418,4.0
2,2d_boundary,5,4.110823812995941,4.10809073331297,2.449489742783178
