seed,model,n_patients_total,n_patients_used_for_hd95_q20,hd95_q20
0,2d_bce_dice,100,100,4.123105625617661
0,2d_boundary,100,100,3.4037368241438797
0,25d_bce_dice,100,100,2.0
0,25d_boundary,100,100,3.605551275463989
1,2d_bce_dice,100,100,2.188854381999832
1,2d_boundary,100,100,3.4641016151377544
1,25d_bce_dice,100,100,2.0
1,25d_boundary,100,100,2.23606797749979
2,2d_bce_dice,100,100,2.752639648353588
2,2d_boundary,100,100,4.402329889123196
2,25d_bce_dice,100,100,2.23606797749979
2,25d_boundary,100,100,2.449489742783178
