seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean         , dice_std           , hd95_mean         , hd95_median        , hd95_std          , fnr_mean            , fnr_std             , fpr_mean            , fpr_std
   0, 2d_bce_dice ,              100,                           100, 0.8485996650511987, 0.13209334570059414, 28.934282340313768, 15.87386354243376  , 28.044223656308926, 0.02224142198921245 , 0.04383173317515147 , 0.32578030985120326 , 0.17253414094930064
   0, 2d_boundary ,              100,                           100, 0.8693520151490294, 0.12343368973778596, 26.798834561906293, 14.783077317178936 , 26.409416987964068, 0.017746261127135426, 0.04152207767576384 , 0.36521259308557597 , 0.15937385208489124
   0, 25d_bce_dice,              100,                           100, 0.8895028109422211, 0.10759562784638291, 11.63926192847922 ,  3.8708286933869704, 18.07782853611925 , 0.08465889442035604 , 0.09663802720934744 , 0.03701050719632912 , 0.05098145966212502
   0, 25d_boundary,              100,                           100, 0.8671503327263947, 0.12113261202262136, 29.470593862964105, 19.063009297663683 , 28.42241795314374 , 0.009820125380223303, 0.03361670179722468 , 0.4302395826561519  , 0.17674868925816573
   1, 2d_bce_dice ,              100,                           100, 0.8937479081607742, 0.08889425404199813, 10.946442536969506,  4.182873156368473 , 17.814231108734816, 0.09154515766503288 , 0.07672374233712774 , 0.03223913786913392 , 0.06163523743825217
   1, 2d_boundary ,              100,                           100, 0.8827781969360702, 0.09221580767840037, 24.951157876899273, 11.035804159419527 , 26.939099845978948, 0.02152068867615514 , 0.034999196433295104, 0.35361528009917537 , 0.14873507592279067
   1, 25d_bce_dice,              100,                           100, 0.8982373209174755, 0.08760090036234768,  8.765423416632519,  4.123105625617661 , 14.663303135800179, 0.08590585680432948 , 0.08687576156731222 , 0.022126829667104397, 0.04130505866466013
   1, 25d_boundary,              100,                           100, 0.8970906632167683, 0.08828764544243799, 13.642538478010763,  4.123105625617661 , 19.7205367072479  , 0.029007183524119573, 0.0519453860917251  , 0.17456603372164065 , 0.11964403733717248
   2, 2d_bce_dice ,              100,                           100, 0.8677753824080271, 0.11453752039720336, 22.3725507833241  ,  7.139474344508765 , 25.581537942701114, 0.056943374704094   , 0.07598125429185049 , 0.11789028452721484 , 0.12404620472001326
   2, 2d_boundary ,              100,                           100, 0.8584092529454006, 0.1239103250294151 , 29.759741712785047, 19.175458876895284 , 28.227657321455716, 0.013473618252584963, 0.03062728142378631 , 0.44246750496424825 , 0.1954653776327214
   2, 25d_bce_dice,              100,                           100, 0.8829271824271973, 0.0988597011365166 , 13.031023180444677,  4.58257569495584  , 19.66684651344403 , 0.07529931745358903 , 0.09362589050644321 , 0.06029131024485018 , 0.09985459035989301
   2, 25d_boundary,              100,                           100, 0.8796556970585745, 0.09839141962618417, 21.650558960298255,  8.717609212618255 , 25.000993722102873, 0.01547359094144676 , 0.039049626348426784, 0.3365024294444671  , 0.1475462708019427
