seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std, fnr_mean, fnr_std, fpr_mean, fpr_std
 0.0, 2d_bce_dice ,            100.0,                         100.0,     0.849,   0.132 ,     28.9 ,       15.9 ,     28.0,  0.0222 ,  0.0438,   0.326 ,  0.173
 0.0, 2d_boundary ,            100.0,                         100.0,     0.869,   0.123 ,     26.8 ,       14.8 ,     26.4,  0.0177 ,  0.0415,   0.365 ,  0.159
 0.0, 25d_bce_dice,            100.0,                         100.0,     0.89 ,   0.108 ,     11.6 ,        3.87,     18.1,  0.0847 ,  0.0966,   0.037 ,  0.051
 0.0, 25d_boundary,            100.0,                         100.0,     0.867,   0.121 ,     29.5 ,       19.1 ,     28.4,  0.00982,  0.0336,   0.43  ,  0.177
 1.0, 2d_bce_dice ,            100.0,                         100.0,     0.894,   0.0889,     10.9 ,        4.18,     17.8,  0.0915 ,  0.0767,   0.0322,  0.0616
 1.0, 2d_boundary ,            100.0,                         100.0,     0.883,   0.0922,     25.0 ,       11.0 ,     26.9,  0.0215 ,  0.035 ,   0.354 ,  0.149
 1.0, 25d_bce_dice,            100.0,                         100.0,     0.898,   0.0876,      8.77,        4.12,     14.7,  0.0859 ,  0.0869,   0.0221,  0.0413
 1.0, 25d_boundary,            100.0,                         100.0,     0.897,   0.0883,     13.6 ,        4.12,     19.7,  0.029  ,  0.0519,   0.175 ,  0.12
 2.0, 2d_bce_dice ,            100.0,                         100.0,     0.868,   0.115 ,     22.4 ,        7.14,     25.6,  0.0569 ,  0.076 ,   0.118 ,  0.124
 2.0, 2d_boundary ,            100.0,                         100.0,     0.858,   0.124 ,     29.8 ,       19.2 ,     28.2,  0.0135 ,  0.0306,   0.442 ,  0.195
 2.0, 25d_bce_dice,            100.0,                         100.0,     0.883,   0.0989,     13.0 ,        4.58,     19.7,  0.0753 ,  0.0936,   0.0603,  0.0999
 2.0, 25d_boundary,            100.0,                         100.0,     0.88 ,   0.0984,     21.7 ,        8.72,     25.0,  0.0155 ,  0.039 ,   0.337 ,  0.148
