seed, model       , n_patients_total, n_patients_used_for_dice_hd95, dice_mean, dice_std, hd95_mean, hd95_median, hd95_std
   0, 2d_bce_dice ,              100,                           100,     0.856,    0.130,    23.630,       7.598,   27.309
   0, 2d_boundary ,              100,                           100,     0.875,    0.121,    21.641,       6.397,   24.754
   0, 25d_bce_dice,              100,                           100,     0.890,    0.108,    10.522,       3.606,   16.824
   0, 25d_boundary,              100,                           100,     0.874,    0.116,    24.458,       7.999,   28.074
   1, 2d_bce_dice ,              100,                           100,     0.894,    0.089,    10.464,       4.359,   17.124
   1, 2d_boundary ,              100,                           100,     0.888,    0.090,    18.961,       5.916,   24.821
   1, 25d_bce_dice,              100,                           100,     0.898,    0.088,     8.209,       4.123,   13.422
   1, 25d_boundary,              100,                           100,     0.899,    0.088,    11.003,       3.606,   17.901
   2, 2d_bce_dice ,              100,                           100,     0.873,    0.111,    19.445,       6.364,   24.087
   2, 2d_boundary ,              100,                           100,     0.866,    0.117,    24.687,      10.951,   27.375
   2, 25d_bce_dice,              100,                           100,     0.885,    0.097,    12.050,       4.472,   19.247
   2, 25d_boundary,              100,                           100,     0.885,    0.093,    16.807,       5.378,   22.740
