seed,model,n_patients_total,n_patients_used_for_dice_hd95,dice_mean,dice_std,hd95_mean,hd95_median,hd95_std
0,2d_bce_dice,100,100,0.860,0.128,20.752,6.082,26.000
0,2d_boundary,100,100,0.878,0.125,18.764,6.000,23.530
0,25d_bce_dice,100,100,0.890,0.110,10.313,3.606,16.707
0,25d_boundary,100,100,0.877,0.115,22.623,6.117,26.699
1,2d_bce_dice,100,100,0.894,0.089,10.287,4.416,16.807
1,2d_boundary,100,100,0.890,0.089,14.777,5.099,22.234
1,25d_bce_dice,100,100,0.899,0.088,8.060,4.123,13.343
1,25d_boundary,100,100,0.900,0.088,10.720,3.464,17.800
2,2d_bce_dice,100,100,0.875,0.110,17.663,5.288,23.599
2,2d_boundary,100,100,0.871,0.112,21.249,8.293,26.414
2,25d_bce_dice,100,100,0.886,0.096,11.899,4.416,19.360
2,25d_boundary,100,100,0.888,0.090,14.310,4.791,20.949
