size_group, model       , n_patients_total, n_patients_used_for_dice, dice_mean, dice_std, n_patients_used_for_hd95, hd95_median, hd95_iqr
low_30pct , 2d_bce_dice ,               90,                       90,     0.818,   0.155 ,                       90,       11.6 ,    51.5
low_30pct , 2d_boundary ,               90,                       90,     0.819,   0.149 ,                       90,       37.6 ,    58.5
low_30pct , 25d_bce_dice,               90,                       90,     0.846,   0.134 ,                       90,        6.16,    17.2
low_30pct , 25d_boundary,               90,                       90,     0.837,   0.128 ,                       90,       14   ,    48.9
mid_40pct , 2d_bce_dice ,              120,                      120,     0.893,   0.0784,                      120,        4.24,     5.84
mid_40pct , 2d_boundary ,              120,                      120,     0.901,   0.0716,                      120,        4.32,     7.21
mid_40pct , 25d_bce_dice,              120,                      120,     0.907,   0.0681,                      120,        4.12,     4.71
mid_40pct , 25d_boundary,              120,                      120,     0.906,   0.0674,                      120,        4.03,     8.32
high_30pct, 2d_bce_dice ,               90,                       90,     0.915,   0.0553,                       90,        4.06,     6.22
high_30pct, 2d_boundary ,               90,                       90,     0.915,   0.0705,                       90,        4   ,     3.76
high_30pct, 25d_bce_dice,               90,                       90,     0.918,   0.0706,                       90,        3.24,     3.52
high_30pct, 25d_boundary,               90,                       90,     0.919,   0.0755,                       90,        3   ,     3.75
