group_name,comparison,metric,mean_across_seeds,std_across_seeds,n_seeds_used
high_30pct,25d_boundary_vs_2d_boundary,dice,0.02508143579518329,0.023284237425540585,3
high_30pct,25d_boundary_vs_2d_boundary,fnr,0.004444359615390327,0.015782474358248103,3
high_30pct,25d_boundary_vs_2d_boundary,fpr,-0.09486027698490868,0.15405983079631086,3
high_30pct,25d_boundary_vs_2d_boundary,hd95,-0.722744209236569,2.5931700464105054,3
high_30pct,25d_boundary_vs_nonboundary,dice,-0.01558391498451482,0.02953204912546928,3
high_30pct,25d_boundary_vs_nonboundary,fnr,-0.12212617720897552,0.02589735357547625,3
high_30pct,25d_boundary_vs_nonboundary,fpr,0.32219457928604084,0.16482976394492022,3
high_30pct,25d_boundary_vs_nonboundary,hd95,2.6818086067835485,4.577198985788535,3
high_30pct,25d_vs_2d_bce_dice,dice,0.03171756859283858,0.04003052452378281,3
high_30pct,25d_vs_2d_bce_dice,fnr,0.062053689420643064,0.06729319951050672,3
high_30pct,25d_vs_2d_bce_dice,fpr,-0.14704217091695684,0.19990896703762104,3
high_30pct,25d_vs_2d_bce_dice,hd95,-4.533792336781819,8.11297924511775,3
high_30pct,2d_boundary_vs_nonboundary,dice,-0.008947782186859536,0.03295248842910696,3
high_30pct,2d_boundary_vs_nonboundary,fnr,-0.06451684740372277,0.05676534322284408,3
high_30pct,2d_boundary_vs_nonboundary,fpr,0.2700126853539926,0.21416570530419451,3
high_30pct,2d_boundary_vs_nonboundary,hd95,-1.129239520761702,6.060041700374516,3
low_30pct,25d_boundary_vs_2d_boundary,dice,0.0009688341791337557,0.00437638553631263,3
low_30pct,25d_boundary_vs_2d_boundary,fnr,-0.0023137233530275032,0.004297166833593917,3
low_30pct,25d_boundary_vs_2d_boundary,fpr,-0.05785375253242649,0.10076069948894895,3
low_30pct,25d_boundary_vs_2d_boundary,hd95,-0.17061687972810535,0.3981955107269024,3
low_30pct,25d_boundary_vs_nonboundary,dice,-0.002797637879556197,0.0037565671310752138,3
low_30pct,25d_boundary_vs_nonboundary,fnr,-0.027637838715519298,0.007266841841837724,3
low_30pct,25d_boundary_vs_nonboundary,fpr,0.23031999870422806,0.09838348075021802,3
low_30pct,25d_boundary_vs_nonboundary,hd95,0.023270429505242236,0.2252301223020469,3
low_30pct,25d_vs_2d_bce_dice,dice,0.005664460519692642,0.012866564338090244,3
low_30pct,25d_vs_2d_bce_dice,fnr,0.0045130724540705,0.01196374653414555,3
low_30pct,25d_vs_2d_bce_dice,fpr,-0.08007905727220639,0.0823207741443797,3
low_30pct,25d_vs_2d_bce_dice,hd95,-0.6523275627030266,0.627325973105191,3
low_30pct,2d_boundary_vs_nonboundary,dice,0.001897988461002689,0.011908800628882185,3
low_30pct,2d_boundary_vs_nonboundary,fnr,-0.020811042908421295,0.01815187688533499,3
low_30pct,2d_boundary_vs_nonboundary,fpr,0.2080946939644482,0.09015413045611266,3
low_30pct,2d_boundary_vs_nonboundary,hd95,-0.45844025346967904,0.8121827990003592,3
mid_40pct,25d_boundary_vs_2d_boundary,dice,0.008259725286404685,0.00944253627974934,3
mid_40pct,25d_boundary_vs_2d_boundary,fnr,-0.0002977007051770287,0.0053635100530845725,3
mid_40pct,25d_boundary_vs_2d_boundary,fpr,-0.06888646115015486,0.12271795043715199,3
mid_40pct,25d_boundary_vs_2d_boundary,hd95,0.39192997018496195,0.516686718913784,3
mid_40pct,25d_boundary_vs_nonboundary,dice,-0.008523018346718278,0.006069663620083755,3
mid_40pct,25d_boundary_vs_nonboundary,fnr,-0.04731296208369965,0.005941864286001561,3
mid_40pct,25d_boundary_vs_nonboundary,fpr,0.27041435908640526,0.10411181748674626,3
mid_40pct,25d_boundary_vs_nonboundary,hd95,1.0092623859643937,0.7056578905588775,3
mid_40pct,25d_vs_2d_bce_dice,dice,0.02241793122583523,0.011551532856948592,3
mid_40pct,25d_vs_2d_bce_dice,fnr,0.012686690527244178,0.02833580645047927,3
mid_40pct,25d_vs_2d_bce_dice,fpr,-0.1266508922317602,0.1613128578593944,3
mid_40pct,25d_vs_2d_bce_dice,hd95,-3.4375417441129685,2.6616769923960573,3
mid_40pct,2d_boundary_vs_nonboundary,dice,0.005635187592712271,0.01556428964542509,3
mid_40pct,2d_boundary_vs_nonboundary,fnr,-0.034328570851278446,0.02685469678861086,3
mid_40pct,2d_boundary_vs_nonboundary,fpr,0.2126499280047999,0.1836686119918584,3
mid_40pct,2d_boundary_vs_nonboundary,hd95,-2.8202093283335365,2.985998882292766,3
