grouping,group_name,comparison,metric,count,mean,std,seed
complexity,high_30pct,25d_boundary_vs_2d_boundary,dice,30,-0.00035183194026433827,0.0268668285968835,0
complexity,high_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.01140985157903056,0.027870213260136504,0
complexity,high_30pct,25d_boundary_vs_2d_boundary,fpr,30,0.07795347256910917,0.09019128656824421,0
complexity,high_30pct,25d_boundary_vs_2d_boundary,hd95,30,2.113802643616994,7.875378115016529,0
complexity,high_30pct,25d_boundary_vs_nonboundary,dice,30,-0.04864924875216648,0.0600332385764294,0
complexity,high_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.151155698720748,0.10579404931979658,0
complexity,high_30pct,25d_boundary_vs_nonboundary,fpr,30,0.4795725627775983,0.15422129029507264,0
complexity,high_30pct,25d_boundary_vs_nonboundary,hd95,30,7.966682489713033,20.556694921260302,0
complexity,high_30pct,25d_vs_2d_bce_dice,dice,30,0.07678771679022298,0.05811497109663762,0
complexity,high_30pct,25d_vs_2d_bce_dice,fnr,30,0.1374389679810906,0.10958120204830107,0
complexity,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.37616037985495787,0.1600043962420195,0
complexity,high_30pct,25d_vs_2d_bce_dice,hd95,30,-13.900543344020843,19.714951951664364,0
complexity,high_30pct,2d_boundary_vs_nonboundary,dice,30,0.028490299978320827,0.04567627522056094,0
complexity,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.0023068791606267935,0.027557313258940185,0
complexity,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.0254587103535312,0.10981246202017304,0
complexity,high_30pct,2d_boundary_vs_nonboundary,hd95,30,-8.047663497924805,11.901465177495949,0
complexity,low_30pct,25d_boundary_vs_2d_boundary,dice,30,-0.004060176116751853,0.020169058206319496,0
complexity,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.0064410477608849905,0.01598248955629331,0
complexity,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,0.05438368952710125,0.06024039477031983,0
complexity,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,0.26563636064529417,1.4650516377722347,0
complexity,low_30pct,25d_boundary_vs_nonboundary,dice,30,-0.006948841427416275,0.01771114126738563,0
complexity,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.02902735312190908,0.038803692840060335,0
complexity,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.33031176488475217,0.1654311818498337,0
complexity,low_30pct,25d_boundary_vs_nonboundary,hd95,30,0.28216165701548257,1.5231782422272098,0
complexity,low_30pct,25d_vs_2d_bce_dice,dice,30,0.012157469192489733,0.0313704545373423,0
complexity,low_30pct,25d_vs_2d_bce_dice,fnr,30,0.01817951279170291,0.04119046706507983,0
complexity,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.1719272595103729,0.12471616918524019,0
complexity,low_30pct,25d_vs_2d_bce_dice,hd95,30,-1.2043914755185445,2.3035459072512903,0
complexity,low_30pct,2d_boundary_vs_nonboundary,dice,30,0.009268803881825311,0.025043175593347775,0
complexity,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.004406792569321176,0.01563681649979515,0
complexity,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.10400081584727805,0.07500032006381716,0
complexity,low_30pct,2d_boundary_vs_nonboundary,hd95,30,-1.187866179148356,1.946435897462362,0
complexity,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,-0.002194440691058566,0.02494225264389577,0
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,-0.006427164862343644,0.01933255700742644,0
complexity,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,0.06331460235428173,0.07581983534368304,0
complexity,mid_40pct,25d_boundary_vs_2d_boundary,hd95,40,0.5852446168661117,5.489006642554771,0
complexity,mid_40pct,25d_boundary_vs_nonboundary,dice,40,-0.014185736702043608,0.02901601338184775,0
complexity,mid_40pct,25d_boundary_vs_nonboundary,fnr,40,-0.051959633718339025,0.05182747672441925,0
complexity,mid_40pct,25d_boundary_vs_nonboundary,fpr,40,0.375659442902794,0.14622725029666298,0
complexity,mid_40pct,25d_boundary_vs_nonboundary,hd95,40,0.8516020089387893,3.7917006407874356,0
complexity,mid_40pct,25d_vs_2d_bce_dice,dice,40,0.0355518726476163,0.0434729587275714,0
complexity,mid_40pct,25d_vs_2d_bce_dice,fnr,40,0.03932982049826379,0.05490223592895609,0
complexity,mid_40pct,25d_vs_2d_bce_dice,fpr,40,-0.31063150438591436,0.1305614908588064,0
complexity,mid_40pct,25d_vs_2d_bce_dice,hd95,40,-4.827101582288742,10.038951481040696,0
complexity,mid_40pct,2d_boundary_vs_nonboundary,dice,40,0.023560576636631258,0.034782838328127605,0
complexity,mid_40pct,2d_boundary_vs_nonboundary,fnr,40,-0.006202648357731588,0.029013676059888895,0
complexity,mid_40pct,2d_boundary_vs_nonboundary,fpr,40,0.0017133361625978922,0.11165632445085649,0
complexity,mid_40pct,2d_boundary_vs_nonboundary,hd95,40,-4.560744190216065,9.871110340846597,0
