seed,group_name,comparison,metric,count,mean,std
0,complexity_top20pct,25d_boundary_vs_2d_boundary,dice,1182,0.028581235781023305,0.18190819716284257
0,complexity_top20pct,25d_boundary_vs_2d_boundary,hd95,1182,1.4562164551718704,23.053917722978778
0,complexity_top20pct,25d_boundary_vs_nonboundary,dice,863,-0.013147919450586692,0.12495427305457275
0,complexity_top20pct,25d_boundary_vs_nonboundary,hd95,863,6.3325124025977475,22.229480202277188
0,complexity_top20pct,25d_vs_2d_bce_dice,dice,842,0.055558521271037796,0.17876630423094844
0,complexity_top20pct,25d_vs_2d_bce_dice,hd95,842,-11.32594324664397,25.501435801963645
0,complexity_top20pct,2d_boundary_vs_nonboundary,dice,1136,0.023604068852196364,0.15518553658488482
0,complexity_top20pct,2d_boundary_vs_nonboundary,hd95,1136,-4.6466371008302865,25.662837969961142
1,complexity_top20pct,25d_boundary_vs_2d_boundary,dice,1110,0.033338080317383834,0.18227329441322462
1,complexity_top20pct,25d_boundary_vs_2d_boundary,hd95,1110,-4.309432875041743,21.087144259645456
1,complexity_top20pct,25d_boundary_vs_nonboundary,dice,859,0.011505514880009926,0.13369680274499968
1,complexity_top20pct,25d_boundary_vs_nonboundary,hd95,859,0.17986195217768677,12.909743840346627
1,complexity_top20pct,25d_vs_2d_bce_dice,dice,757,0.03210750934597038,0.1348249371891525
1,complexity_top20pct,25d_vs_2d_bce_dice,hd95,757,-2.4952507519713216,14.465794270170308
1,complexity_top20pct,2d_boundary_vs_nonboundary,dice,829,0.006015581827427045,0.16410185047534306
1,complexity_top20pct,2d_boundary_vs_nonboundary,hd95,829,1.6234721260388534,20.46665713264657
2,complexity_top20pct,25d_boundary_vs_2d_boundary,dice,1206,0.04059728730630225,0.1900734214829358
2,complexity_top20pct,25d_boundary_vs_2d_boundary,hd95,1206,-5.0947394737110105,24.987924772712407
2,complexity_top20pct,25d_boundary_vs_nonboundary,dice,941,-0.002901270095352476,0.14042309724087576
2,complexity_top20pct,25d_boundary_vs_nonboundary,hd95,941,2.2852512685647075,17.821627175187174
2,complexity_top20pct,25d_vs_2d_bce_dice,dice,895,0.03630118627259798,0.1635673700263938
2,complexity_top20pct,25d_vs_2d_bce_dice,hd95,895,-7.496096075832806,22.200392530035476
2,complexity_top20pct,2d_boundary_vs_nonboundary,dice,1012,0.008867690216586344,0.14058448223510103
2,complexity_top20pct,2d_boundary_vs_nonboundary,hd95,1012,-1.3677764500892726,24.04148390577719
