grouping,group_name,comparison,metric,count,mean,std,seed
size,high_30pct,25d_boundary_vs_2d_boundary,dice,30,0.002109788501085204,0.020466197023143604,0
size,high_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.008503415192420616,0.014657373477738949,0
size,high_30pct,25d_boundary_vs_2d_boundary,fpr,30,0.048964854913154957,0.07223887519018111,0
size,high_30pct,25d_boundary_vs_2d_boundary,hd95,30,0.941362718741099,6.294606100896428,0
size,high_30pct,25d_boundary_vs_nonboundary,dice,30,-0.0003488633085742432,0.01296344840073634,0
size,high_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.0354430707767605,0.04091671357373512,0
size,high_30pct,25d_boundary_vs_nonboundary,fpr,30,0.26738025485772693,0.1632114274242068,0
size,high_30pct,25d_boundary_vs_nonboundary,hd95,30,1.0344265143076579,4.471326604854325,0
size,high_30pct,25d_vs_2d_bce_dice,dice,30,0.013686441992058021,0.033213334628496204,0
size,high_30pct,25d_vs_2d_bce_dice,fnr,30,0.018509639348033558,0.034633305192776326,0
size,high_30pct,25d_vs_2d_bce_dice,fpr,30,-0.1857960571320323,0.1295155199039268,0
size,high_30pct,25d_vs_2d_bce_dice,hd95,30,-3.1359705567359923,7.802191532108913,0
size,high_30pct,2d_boundary_vs_nonboundary,dice,30,0.011227790182398575,0.0301608615923091,0
size,high_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.008430016236306338,0.012311826065850316,0
size,high_30pct,2d_boundary_vs_nonboundary,fpr,30,0.032619342812539656,0.10372179193351487,0
size,high_30pct,2d_boundary_vs_nonboundary,hd95,30,-3.0429067611694336,7.266276966806749,0
size,low_30pct,25d_boundary_vs_2d_boundary,dice,30,-0.004080170425098912,0.030860227977156283,0
size,low_30pct,25d_boundary_vs_2d_boundary,fnr,30,-0.00848723172252584,0.03037246130253006,0
size,low_30pct,25d_boundary_vs_2d_boundary,fpr,30,0.09586774601196574,0.08659329624384819,0
size,low_30pct,25d_boundary_vs_2d_boundary,hd95,30,1.5155059893925984,7.7212131289153545,0
size,low_30pct,25d_boundary_vs_nonboundary,dice,30,-0.06023047370021195,0.056327411047397025,0
size,low_30pct,25d_boundary_vs_nonboundary,fnr,30,-0.13969183850934047,0.11476225795239496,0
size,low_30pct,25d_boundary_vs_nonboundary,fpr,30,0.5024994918474188,0.1286261293309695,0
size,low_30pct,25d_boundary_vs_nonboundary,hd95,30,7.298052040735881,20.650089913128145,0
size,low_30pct,25d_vs_2d_bce_dice,dice,30,0.08385051475464142,0.06069213063850414,0
size,low_30pct,25d_vs_2d_bce_dice,fnr,30,0.12778521453526598,0.11784455209463285,0
size,low_30pct,25d_vs_2d_bce_dice,fpr,30,-0.39369111961845304,0.14676238966632493,0
size,low_30pct,25d_vs_2d_bce_dice,hd95,30,-14.348544200261435,20.885333125145564,0
size,low_30pct,2d_boundary_vs_nonboundary,dice,30,0.027700211479528395,0.04965848583304152,0
size,low_30pct,2d_boundary_vs_nonboundary,fnr,30,-0.0034193922515486697,0.02951513584776208,0
size,low_30pct,2d_boundary_vs_nonboundary,fpr,30,0.012940626217000092,0.12019264933543657,0
size,low_30pct,2d_boundary_vs_nonboundary,hd95,30,-8.565998148918151,13.964940262626346,0
size,mid_40pct,25d_boundary_vs_2d_boundary,dice,40,-0.004025660290810429,0.020653899365593604,0
size,mid_40pct,25d_boundary_vs_2d_boundary,fnr,40,-0.007072354181070467,0.017540240105315907,0
size,mid_40pct,25d_boundary_vs_2d_boundary,fpr,40,0.05394302323259901,0.06482447876266874,0
