model,seed,artifact_prefix,status,best_threshold,best_val_dice,test_dice,test_hd95_median,test_fnr,test_fpr,error
2d_dice,0,2d_dice_seed0,ok,0.5,0.7296791243516352,0.7849729911668256,7.0,0.0481283422459893,0.1172069825436409,
2d_dice,1,2d_dice_seed1,ok,0.5,0.7723672459595394,0.6469473314436176,8.595035552978516,0.13924050632911392,0.07151370679380215,
2d_dice,2,2d_dice_seed2,ok,0.7,0.7862439634506604,0.7585867910335461,4.123105525970459,0.04497354497354497,0.14987405541561713,
2d_dice,3,2d_dice_seed3,ok,0.5,0.8213107207205874,0.7871328712817643,7.0,0.06426332288401254,0.25,
2d_dice,4,2d_dice_seed4,ok,0.5,0.7719984599374066,0.75569667435722,5.0693135261535645,0.07290015847860538,0.16430903155603918,
2d_bce_dice,0,2d_bce_dice_seed0,ok,0.5,0.7142752643015905,0.8133187643526232,3.0486831665039062,0.06149732620320856,0.03865336658354115,
2d_bce_dice,1,2d_bce_dice_seed1,ok,0.5,0.7681739516066809,0.6331501325956544,7.8102498054504395,0.15471167369901548,0.050059594755661505,
2d_bce_dice,2,2d_bce_dice_seed2,ok,0.7,0.8050221198111072,0.7575294802559136,5.830951690673828,0.026455026455026454,0.3161209068010076,
2d_bce_dice,3,2d_bce_dice_seed3,ok,0.5,0.8199404822607365,0.7796288208808271,4.828444480895996,0.11598746081504702,0.07675438596491228,
2d_bce_dice,4,2d_bce_dice_seed4,ok,0.55,0.7477023094458487,0.7327803191854345,7.231804847717285,0.028526148969889066,0.31120783460282914,
2d_bce_dice_posweighted,0,2d_bce_dice_posweighted_seed0,ok,0.7,0.7327726551851903,0.7730758968979757,7.071067810058594,0.0106951871657754,0.24688279301745636,
2d_bce_dice_posweighted,1,2d_bce_dice_posweighted_seed1,ok,0.6,0.8059252355220544,0.6971041174440444,9.063343048095703,0.06047819971870605,0.2061978545887962,
2d_bce_dice_posweighted,2,2d_bce_dice_posweighted_seed2,ok,0.7,0.7630893123253882,0.7493623839297071,5.0,0.042328042328042326,0.14105793450881612,
2d_bce_dice_posweighted,3,2d_bce_dice_posweighted_seed3,ok,0.65,0.8213063940494019,0.7911751564814006,6.0,0.047021943573667714,0.2719298245614035,
2d_bce_dice_posweighted,4,2d_bce_dice_posweighted_seed4,ok,0.7,0.7631953630918896,0.7624896230993766,6.324555397033691,0.020602218700475437,0.2546245919477693,
2d_bce_dice_boundary_0.05,0,2d_bce_dice_boundary_0.05_seed0,ok,0.5,0.7412012362407097,0.8312734747778644,3.8422205448150635,0.0066844919786096255,0.29301745635910226,
2d_bce_dice_boundary_0.05,1,2d_bce_dice_boundary_0.05_seed1,ok,0.5,0.776492455297143,0.7342063461269256,7.071067810058594,0.02250351617440225,0.3957091775923719,
2d_bce_dice_boundary_0.05,2,2d_bce_dice_boundary_0.05_seed2,ok,0.5,0.810112695451136,0.7795708983860634,4.1470770835876465,0.03835978835978836,0.19143576826196473,
2d_bce_dice_boundary_0.05,3,2d_bce_dice_boundary_0.05_seed3,ok,0.5,0.8259525281217324,0.8185209693463058,4.788854598999023,0.029780564263322883,0.4375,
2d_bce_dice_boundary_0.05,4,2d_bce_dice_boundary_0.05_seed4,ok,0.5,0.7816817720441757,0.7772191735353504,5.141941070556641,0.0491283676703645,0.20021762785636563,
2d_bce_dice_boundary_0.1,0,2d_bce_dice_boundary_0.1_seed0,ok,0.5,0.7461681898633491,0.8130716592382221,5.099019527435303,0.0053475935828877,0.30673316708229426,
2d_bce_dice_boundary_0.1,1,2d_bce_dice_boundary_0.1_seed1,ok,0.5,0.7776621729461816,0.720572938267587,9.206275939941406,0.04922644163150492,0.20738974970202623,
2d_bce_dice_boundary_0.1,2,2d_bce_dice_boundary_0.1_seed2,ok,0.5,0.8076242432104387,0.7635111920929775,4.242640495300293,0.0291005291005291,0.2040302267002519,
2d_bce_dice_boundary_0.1,3,2d_bce_dice_boundary_0.1_seed3,ok,0.5,0.8274524393959863,0.8243512694861121,5.019804000854492,0.023510971786833857,0.4243421052631579,
2d_bce_dice_boundary_0.1,4,2d_bce_dice_boundary_0.1_seed4,ok,0.5,0.7875704245286177,0.7853996028412258,6.020690441131592,0.01584786053882726,0.4134929270946681,
2d_bce_dice_boundary_0.2,0,2d_bce_dice_boundary_0.2_seed0,ok,0.5,0.7306200118865513,0.8152354965733494,5.847856521606445,0.017379679144385027,0.23566084788029926,
2d_bce_dice_boundary_0.2,1,2d_bce_dice_boundary_0.2_seed1,ok,0.5,0.7930184936871494,0.7229869987097806,7.6157732009887695,0.030942334739803096,0.2860548271752086,
2d_bce_dice_boundary_0.2,2,2d_bce_dice_boundary_0.2_seed2,ok,0.5,0.795599109851397,0.7634981999200863,5.0,0.03042328042328042,0.27204030226700254,
2d_bce_dice_boundary_0.2,3,2d_bce_dice_boundary_0.2_seed3,ok,0.5,0.8289070959318672,0.8024385253370369,6.090771675109863,0.03134796238244514,0.3980263157894737,
2d_bce_dice_boundary_0.2,4,2d_bce_dice_boundary_0.2_seed4,ok,0.5,0.7757903291907126,0.7733603289982572,5.385164737701416,0.03803486529318542,0.22742110990206746,
2d_bce_dice_posweighted_boundary_0.05,0,2d_bce_dice_posweighted_boundary_0.05_seed0,ok,0.5,0.7444061438503217,0.8119922912316048,5.987321376800537,0.0106951871657754,0.2955112219451372,
2d_bce_dice_posweighted_boundary_0.05,1,2d_bce_dice_posweighted_boundary_0.05_seed1,ok,0.5,0.7882624611557618,0.7154974518802263,7.6157732009887695,0.06610407876230662,0.15852205005959474,
2d_bce_dice_posweighted_boundary_0.05,2,2d_bce_dice_posweighted_boundary_0.05_seed2,ok,0.7,0.787930616340799,0.7596140738537229,5.830951690673828,0.022486772486772486,0.2531486146095718,
2d_bce_dice_posweighted_boundary_0.05,3,2d_bce_dice_posweighted_boundary_0.05_seed3,ok,0.55,0.8410495805427344,0.7969862934855926,5.656854152679443,0.04231974921630094,0.2883771929824561,
